ClusterLabels,latitude,longitude,category_name,venues
0.0,40.73942947387695,40.73942947387695,Arts & Entertainment,0
0.0,40.73942947387695,40.73942947387695,College & University,0
0.0,40.73942947387695,40.73942947387695,Event,0
0.0,40.73942947387695,40.73942947387695,Food,0
0.0,40.73942947387695,40.73942947387695,Nightlife Spot,0
0.0,40.73942947387695,40.73942947387695,Outdoors & Recreation,0
0.0,40.73942947387695,40.73942947387695,Professional & Other Places,0
0.0,40.73942947387695,40.73942947387695,Residence,0
0.0,40.73942947387695,40.73942947387695,Shop & Service,0
0.0,40.73942947387695,40.73942947387695,Travel & Transport,0
1.0,40.76507934836637,40.76507934836637,Arts & Entertainment,0
1.0,40.76507934836637,40.76507934836637,College & University,0
1.0,40.76507934836637,40.76507934836637,Event,0
1.0,40.76507934836637,40.76507934836637,Food,0
1.0,40.76507934836637,40.76507934836637,Nightlife Spot,0
1.0,40.76507934836637,40.76507934836637,Outdoors & Recreation,0
1.0,40.76507934836637,40.76507934836637,Professional & Other Places,0
1.0,40.76507934836637,40.76507934836637,Residence,0
1.0,40.76507934836637,40.76507934836637,Shop & Service,0
1.0,40.76507934836637,40.76507934836637,Travel & Transport,0
2.0,40.72200580930028,40.72200580930028,Arts & Entertainment,0
2.0,40.72200580930028,40.72200580930028,College & University,0
2.0,40.72200580930028,40.72200580930028,Event,0
2.0,40.72200580930028,40.72200580930028,Food,0
2.0,40.72200580930028,40.72200580930028,Nightlife Spot,0
2.0,40.72200580930028,40.72200580930028,Outdoors & Recreation,0
2.0,40.72200580930028,40.72200580930028,Professional & Other Places,0
2.0,40.72200580930028,40.72200580930028,Residence,0
2.0,40.72200580930028,40.72200580930028,Shop & Service,0
2.0,40.72200580930028,40.72200580930028,Travel & Transport,0
3.0,40.894594,40.894594,Arts & Entertainment,0
3.0,40.894594,40.894594,College & University,0
3.0,40.894594,40.894594,Event,0
3.0,40.894594,40.894594,Food,0
3.0,40.894594,40.894594,Nightlife Spot,0
3.0,40.894594,40.894594,Outdoors & Recreation,0
3.0,40.894594,40.894594,Professional & Other Places,0
3.0,40.894594,40.894594,Residence,0
3.0,40.894594,40.894594,Shop & Service,0
3.0,40.894594,40.894594,Travel & Transport,0
4.0,40.797727443090636,40.797727443090636,Arts & Entertainment,0
4.0,40.797727443090636,40.797727443090636,College & University,0
4.0,40.797727443090636,40.797727443090636,Event,0
4.0,40.797727443090636,40.797727443090636,Food,0
4.0,40.797727443090636,40.797727443090636,Nightlife Spot,0
4.0,40.797727443090636,40.797727443090636,Outdoors & Recreation,0
4.0,40.797727443090636,40.797727443090636,Professional & Other Places,0
4.0,40.797727443090636,40.797727443090636,Residence,0
4.0,40.797727443090636,40.797727443090636,Shop & Service,0
4.0,40.797727443090636,40.797727443090636,Travel & Transport,0
5.0,40.747010161535854,40.747010161535854,Arts & Entertainment,0
5.0,40.747010161535854,40.747010161535854,College & University,0
5.0,40.747010161535854,40.747010161535854,Event,0
5.0,40.747010161535854,40.747010161535854,Food,0
5.0,40.747010161535854,40.747010161535854,Nightlife Spot,0
5.0,40.747010161535854,40.747010161535854,Outdoors & Recreation,0
5.0,40.747010161535854,40.747010161535854,Professional & Other Places,0
5.0,40.747010161535854,40.747010161535854,Residence,0
5.0,40.747010161535854,40.747010161535854,Shop & Service,0
5.0,40.747010161535854,40.747010161535854,Travel & Transport,0
6.0,40.68902542813316,40.68902542813316,Arts & Entertainment,0
6.0,40.68902542813316,40.68902542813316,College & University,0
6.0,40.68902542813316,40.68902542813316,Event,0
6.0,40.68902542813316,40.68902542813316,Food,0
6.0,40.68902542813316,40.68902542813316,Nightlife Spot,0
6.0,40.68902542813316,40.68902542813316,Outdoors & Recreation,0
6.0,40.68902542813316,40.68902542813316,Professional & Other Places,0
6.0,40.68902542813316,40.68902542813316,Residence,0
6.0,40.68902542813316,40.68902542813316,Shop & Service,0
6.0,40.68902542813316,40.68902542813316,Travel & Transport,0
7.0,40.76068948474029,40.76068948474029,Arts & Entertainment,0
7.0,40.76068948474029,40.76068948474029,College & University,0
7.0,40.76068948474029,40.76068948474029,Event,0
7.0,40.76068948474029,40.76068948474029,Food,0
7.0,40.76068948474029,40.76068948474029,Nightlife Spot,0
7.0,40.76068948474029,40.76068948474029,Outdoors & Recreation,0
7.0,40.76068948474029,40.76068948474029,Professional & Other Places,0
7.0,40.76068948474029,40.76068948474029,Residence,0
7.0,40.76068948474029,40.76068948474029,Shop & Service,0
7.0,40.76068948474029,40.76068948474029,Travel & Transport,0
8.0,40.73673732357595,40.73673732357595,Arts & Entertainment,0
8.0,40.73673732357595,40.73673732357595,College & University,0
8.0,40.73673732357595,40.73673732357595,Event,0
8.0,40.73673732357595,40.73673732357595,Food,0
8.0,40.73673732357595,40.73673732357595,Nightlife Spot,0
8.0,40.73673732357595,40.73673732357595,Outdoors & Recreation,0
8.0,40.73673732357595,40.73673732357595,Professional & Other Places,0
8.0,40.73673732357595,40.73673732357595,Residence,0
8.0,40.73673732357595,40.73673732357595,Shop & Service,0
8.0,40.73673732357595,40.73673732357595,Travel & Transport,0
9.0,40.719419463154516,40.719419463154516,Arts & Entertainment,0
9.0,40.719419463154516,40.719419463154516,College & University,0
9.0,40.719419463154516,40.719419463154516,Event,0
9.0,40.719419463154516,40.719419463154516,Food,0
9.0,40.719419463154516,40.719419463154516,Nightlife Spot,0
9.0,40.719419463154516,40.719419463154516,Outdoors & Recreation,0
9.0,40.719419463154516,40.719419463154516,Professional & Other Places,0
9.0,40.719419463154516,40.719419463154516,Residence,0
9.0,40.719419463154516,40.719419463154516,Shop & Service,0
9.0,40.719419463154516,40.719419463154516,Travel & Transport,0
10.0,40.71490618089446,40.71490618089446,Arts & Entertainment,0
10.0,40.71490618089446,40.71490618089446,College & University,0
10.0,40.71490618089446,40.71490618089446,Event,0
10.0,40.71490618089446,40.71490618089446,Food,0
10.0,40.71490618089446,40.71490618089446,Nightlife Spot,0
10.0,40.71490618089446,40.71490618089446,Outdoors & Recreation,0
10.0,40.71490618089446,40.71490618089446,Professional & Other Places,0
10.0,40.71490618089446,40.71490618089446,Residence,0
10.0,40.71490618089446,40.71490618089446,Shop & Service,0
10.0,40.71490618089446,40.71490618089446,Travel & Transport,0
11.0,40.77322225045322,40.77322225045322,Arts & Entertainment,0
11.0,40.77322225045322,40.77322225045322,College & University,0
11.0,40.77322225045322,40.77322225045322,Event,0
11.0,40.77322225045322,40.77322225045322,Food,0
11.0,40.77322225045322,40.77322225045322,Nightlife Spot,0
11.0,40.77322225045322,40.77322225045322,Outdoors & Recreation,0
11.0,40.77322225045322,40.77322225045322,Professional & Other Places,0
11.0,40.77322225045322,40.77322225045322,Residence,0
11.0,40.77322225045322,40.77322225045322,Shop & Service,0
11.0,40.77322225045322,40.77322225045322,Travel & Transport,0
12.0,40.777695104340665,40.777695104340665,Arts & Entertainment,0
12.0,40.777695104340665,40.777695104340665,College & University,0
12.0,40.777695104340665,40.777695104340665,Event,0
12.0,40.777695104340665,40.777695104340665,Food,0
12.0,40.777695104340665,40.777695104340665,Nightlife Spot,0
12.0,40.777695104340665,40.777695104340665,Outdoors & Recreation,0
12.0,40.777695104340665,40.777695104340665,Professional & Other Places,0
12.0,40.777695104340665,40.777695104340665,Residence,0
12.0,40.777695104340665,40.777695104340665,Shop & Service,0
12.0,40.777695104340665,40.777695104340665,Travel & Transport,0
13.0,40.759400626263584,40.759400626263584,Arts & Entertainment,0
13.0,40.759400626263584,40.759400626263584,College & University,0
13.0,40.759400626263584,40.759400626263584,Event,0
13.0,40.759400626263584,40.759400626263584,Food,0
13.0,40.759400626263584,40.759400626263584,Nightlife Spot,0
13.0,40.759400626263584,40.759400626263584,Outdoors & Recreation,0
13.0,40.759400626263584,40.759400626263584,Professional & Other Places,0
13.0,40.759400626263584,40.759400626263584,Residence,0
13.0,40.759400626263584,40.759400626263584,Shop & Service,0
13.0,40.759400626263584,40.759400626263584,Travel & Transport,0
